deviceTime_utc,deviceTime_local,deviceTime_unix,temperature,pressure,humidity,error_flag
2019-02-02 02:17:48+00:00,2019-02-01 18:17:48-08:00,1549073868,27.91,1004.62,37.95
2019-02-02 02:22:48+00:00,2019-02-01 18:22:48-08:00,1549074168,27.83,1004.59,38.02
2019-02-02 02:27:48+00:00,2019-02-01 18:27:48-08:00,1549074468,27.75,1004.54,38.11
2019-02-02 02:32:48+00:00,2019-02-01 18:32:48-08:00,1549074768,27.59,1004.59,38.37
2019-02-02 02:37:48+00:00,2019-02-01 18:37:48-08:00,1549075068,27.57,1004.68,38.39
2019-02-02 02:42:48+00:00,2019-02-01 18:42:48-08:00,1549075368,27.47,1004.79,38.55
2019-02-02 02:47:48+00:00,2019-02-01 18:47:48-08:00,1549075668,27.52,1004.85,38.42
2019-02-02 02:52:48+00:00,2019-02-01 18:52:48-08:00,1549075968,27.52,1004.99,38.4
2019-02-02 02:57:48+00:00,2019-02-01 18:57:48-08:00,1549076268,27.44,1005.0,38.54
2019-02-02 03:02:48+00:00,2019-02-01 19:02:48-08:00,1549076568,27.47,1004.99,38.47
2019-02-02 03:07:48+00:00,2019-02-01 19:07:48-08:00,1549076868,27.4,1004.9,38.6
2019-02-02 03:12:48+00:00,2019-02-01 19:12:48-08:00,1549077168,27.38,1004.85,38.63
2019-02-02 03:17:48+00:00,2019-02-01 19:17:48-08:00,1549077468,27.42,1004.83,38.56
2019-02-02 03:22:48+00:00,2019-02-01 19:22:48-08:00,1549077768,27.45,1004.79,38.49
2019-02-02 03:27:48+00:00,2019-02-01 19:27:48-08:00,1549078068,27.48,1004.65,38.42
2019-02-02 03:32:48+00:00,2019-02-01 19:32:48-08:00,1549078368,27.45,1004.65,38.45
2019-02-02 03:37:48+00:00,2019-02-01 19:37:48-08:00,1549078668,27.42,1004.61,38.5
2019-02-02 03:42:48+00:00,2019-02-01 19:42:48-08:00,1549078968,27.38,1004.55,38.54
2019-02-02 03:47:48+00:00,2019-02-01 19:47:48-08:00,1549079268,27.26,1004.43,38.74
2019-02-02 03:52:48+00:00,2019-02-01 19:52:48-08:00,1549079568,27.3,1004.37,38.63
2019-02-02 03:57:48+00:00,2019-02-01 19:57:48-08:00,1549079868,27.21,1004.32,38.76
2019-02-02 04:02:48+00:00,2019-02-01 20:02:48-08:00,1549080168,27.09,1004.24,38.94
2019-02-02 04:07:48+00:00,2019-02-01 20:07:48-08:00,1549080468,26.99,1004.18,39.18
2019-02-02 04:12:48+00:00,2019-02-01 20:12:48-08:00,1549080768,27.14,1004.15,39.02
2019-02-02 04:17:48+00:00,2019-02-01 20:17:48-08:00,1549081068,27.41,1003.98,38.71
2019-02-02 04:22:48+00:00,2019-02-01 20:22:48-08:00,1549081368,27.73,1003.75,38.3
2019-02-02 04:27:48+00:00,2019-02-01 20:27:48-08:00,1549081668,28.04,1003.62,37.93
2019-02-02 04:32:48+00:00,2019-02-01 20:32:48-08:00,1549081968,28.35,1003.52,37.52
2019-02-02 04:37:48+00:00,2019-02-01 20:37:48-08:00,1549082268,28.66,1003.51,37.09
2019-02-02 04:42:48+00:00,2019-02-01 20:42:48-08:00,1549082568,29.12,1003.46,36.48
2019-02-02 04:47:48+00:00,2019-02-01 20:47:48-08:00,1549082868,28.93,1003.42,36.67
2019-02-02 04:52:48+00:00,2019-02-01 20:52:48-08:00,1549083168,28.52,1003.42,37.28
2019-02-02 04:57:48+00:00,2019-02-01 20:57:48-08:00,1549083468,28.34,1003.4,37.5
2019-02-02 05:02:48+00:00,2019-02-01 21:02:48-08:00,1549083768,28.11,1003.44,37.85
2019-02-02 05:07:48+00:00,2019-02-01 21:07:48-08:00,1549084068,27.85,1003.36,38.31
2019-02-02 05:12:48+00:00,2019-02-01 21:12:48-08:00,1549084368,27.56,1003.18,38.88
2019-02-02 05:17:48+00:00,2019-02-01 21:17:48-08:00,1549084668,27.38,1003.06,39.24
2019-02-02 05:22:48+00:00,2019-02-01 21:22:48-08:00,1549084968,27.42,1003.02,39.23
2019-02-02 05:27:48+00:00,2019-02-01 21:27:48-08:00,1549085268,27.58,1002.93,39.13
2019-02-02 05:32:48+00:00,2019-02-01 21:32:48-08:00,1549085568,27.8,1002.82,39.01
2019-02-02 05:37:48+00:00,2019-02-01 21:37:48-08:00,1549085868,28.06,1002.82,38.8
2019-02-02 05:42:48+00:00,2019-02-01 21:42:48-08:00,1549086168,28.37,1002.76,38.45
