time,temperature,pressure,humidity,PM1,PM2,PM3
1630641821.8994083,24.827734375,1002.6104109899264,34.94785263476834,7168,0,0
1630641823.1968713,24.7470703125,1002.580819746263,35.379370555480094,7168,0,0
1630641824.491222,24.721875,1002.557730844943,35.57688071005324,7168,0,0
1630641825.790281,24.6765625,1002.540460640448,35.720927684368995,7168,0,0
1630641827.0955281,24.646484375,1002.5513962428594,35.571970861736006,7168,0,0
1630641828.3949528,24.60625,1002.5682348013371,35.45340962106067,7168,0,0
1630641829.698555,24.4802734375,1002.5503723956441,34.929661648440785,7168,0,0
1630641830.9981012,24.3845703125,1002.5566776923082,35.06811581249707,7168,0,0
1630641832.2966075,24.334375,1002.5785742722454,35.52880727384844,7168,0,0
1630641833.5962183,24.3443359375,1002.6002445301716,35.64210807955876,7168,0,0
1630641834.8951702,24.23359375,1002.5493573455949,35.44089874280997,7168,0,0
1630641836.1943865,24.1732421875,1002.5581557269674,35.43543058922183,7168,0,0
1630641837.492848,24.1177734375,1002.5781352122597,35.597143890774696,7168,0,0
1630641838.7919903,24.1279296875,1002.5525653828263,36.03278179769522,7168,0,0
1630641840.0902698,24.1126953125,1002.5500550050733,36.30173223305804,7168,0,0
1630641841.3891025,24.0775390625,1002.5778964626288,36.14692223608951,7168,0,0
1630641842.6888857,24.0322265625,1002.579271521634,36.46365793068143,7168,0,0
1630641843.9871027,23.9767578125,1002.5709742392798,36.022988529120816,7168,0,256
1630641845.2881596,23.9416015625,1002.610966096032,36.029211695257054,7168,0,256
1630641846.5884051,23.8861328125,1002.5867525457174,36.04768492226723,7168,0,256
1630641847.8873894,23.8962890625,1002.586273181076,36.29823154707003,7168,0,256
1630641849.1868048,23.8560546875,1002.5523870635476,36.19144786923922,7168,0,256
1630641850.486943,23.7955078125,1002.5201206720008,36.066984145278134,7168,0,256
1630641851.789356,23.7552734375,1002.489151536714,35.966137068530735,7168,0,256
1630641853.0887923,23.7150390625,1002.5255486855008,36.097749360518186,7168,0,256
1630641854.3852837,23.7099609375,1002.537547343272,35.82946868907075,7168,0,256
1630641855.6869228,23.694921875,1002.5193545471791,36.109924951491564,7168,0,256
1630641856.9854746,23.6546875,1002.5308824006701,36.15228057015529,7168,0,256
1630641858.283676,23.503515625,1002.5179992906986,36.12429698108517,7168,0,256
1630641859.582116,23.4482421875,1002.5078106606518,36.07123763101298,7168,0,256
1630641860.880971,23.4330078125,1002.5095816597191,36.07148981023816,7168,0,256
1630641862.17979,23.3474609375,1002.5001062689645,36.25113581522772,7168,0,256
1630641863.4786465,23.276953125,1002.5310049420533,36.34149853200288,7168,0,256
1630641864.7780485,23.2015625,1002.5225970537182,36.61627600059929,7168,0,256
1630641866.077519,23.1359375,1002.5073652644127,36.55742233962208,7168,0,256
