time,temperature,pressure
1630638288.9583528,22.7283203125,1003.1323780249967
1630638289.566537,22.7181640625,1003.1510875573722
1630638291.8245468,22.7232421875,1003.1562379370854
1630638294.0850992,22.7130859375,1003.1783014380608
1630638296.3432596,22.7080078125,1003.1567058840409
1630638298.610714,22.703125,1003.1857138334922
