time,temperature,pressure,humidity,PM1,PM2,PM3
1630640950.2153356,23.694921875,1003.0833520410669,40.929176594323245,0,1,2
1630640951.577974,23.725,1003.0792050506003,40.851738970137454,0,1,2
1630640952.8759358,23.73515625,1003.107632515217,40.85767313397053,0,1,2
1630640954.1770194,23.740234375,1003.1006785625178,40.833838759312954,0,1,2
1630640955.4752858,23.7552734375,1003.0899214843241,40.6968649806649,0,1,2
1630640956.771613,23.7603515625,1003.1018472415948,40.72069303782526,0,1,2
1630640958.068266,23.7654296875,1003.080937279786,40.78614583211847,0,1,2
1630640959.3708577,23.7654296875,1003.0843446919779,40.71471623427636,0,1,2
1630640960.6754842,23.785546875,1003.0705735643728,40.74445469898397,0,1,2
1630640961.9766324,23.78046875,1003.0705026621351,40.75637439135737,0,1,2
1630640963.281764,23.785546875,1003.0363564516724,40.69085298893416,0,1,2
1630640964.5749123,23.8107421875,1003.0830558008819,40.631233497895565,0,1,2
1630640965.876021,23.815625,1003.1035017556146,40.5121432588582,0,1,2
1630640967.1734245,23.8107421875,1003.0716681853139,40.69676150030241,0,1,2
1630640968.4742274,23.8056640625,1003.0801158753702,40.672942127320184,0,1,2
1630640969.7741208,23.8107421875,1003.0784120734411,40.74441084446483,0,1,2
1630640971.0784132,23.8005859375,1003.0550978082646,40.40497769414068,0,1,2
1630640972.3755553,23.8056640625,1003.0734431702781,40.72061434311763,0,1,2
1630640973.6704361,23.790625,1003.1113219300282,40.42885676696676,0,1,2
1630640974.9719608,23.785546875,1003.0416101109731,40.65512541761527,0,1,2
1630640976.2713325,23.775390625,1003.0756139032924,40.809962797785964,0,1,2
1630640977.56846,23.7703125,1003.0979038778518,40.68494483584119,0,1,2
1630640978.8664534,23.7703125,1003.0984398820167,40.64326444185489,0,1,2
1630640980.16861,23.7703125,1003.1019173573908,40.73853316609144,0,1,2
1630640981.470826,23.7453125,1003.0883581491647,40.65522076900424,0,1,2
1630640982.7712302,23.7501953125,1003.1122092802789,40.75643877763675,0,1,2
1630640984.071307,23.7453125,1003.0786012481774,40.56589575475518,0,1,2
1630640985.3727558,23.7603515625,1003.1070983224301,40.78618759357167,0,1,2
1630640986.6753294,23.740234375,1003.0940036238849,40.76241420452604,0,1,2
1630640987.9719396,23.740234375,1003.0991144575975,40.976743057623175,0,1,2
1630640989.27878,23.73515625,1003.0754033939406,40.810044001528546,0,1,2
1630640990.5793324,23.73515625,1003.0872588815066,40.88148745098132,0,1,2
1630640991.883312,23.730078125,1003.0871891799371,40.90531071732753,0,1,2
1630640993.1826816,23.725,1003.0873284751282,40.798157277189325,0,1,2
1630640994.4829566,23.73515625,1003.0991144575975,41.00055654393331,0,1,2
1630640995.781383,23.7201171875,1003.0924392252823,40.76243568130941,0,1,2
1630640997.0793626,23.7201171875,1003.1213308370361,40.73265632694697,0,1,2
1630640998.3795714,23.7150390625,1003.1064621746459,40.84578549023192,0,1,2
1630640999.6818044,23.7150390625,1003.113414695556,40.81603775913205,0,1,2
1630641000.9813154,23.7201171875,1003.0929721781624,40.80413093050592,0,1,2
1630641002.2838712,23.7,1003.0912686355117,41.030376191692355,0,1,2
1630641003.5841575,23.7048828125,1003.0996478919164,40.935112494796755,0,1,2
1630641004.8864639,23.7048828125,1003.0912686355117,40.85773055267191,0,1,2
1630641006.1857924,23.68984375,1003.0833520410669,40.83989012747321,0,1,2
1630641007.4863267,23.7,1003.1271118925578,40.929185363912396,0,1,2
1630641008.7899902,23.68984375,1003.0764691534234,41.03634410193115,0,1,2
1630641010.0947132,23.684765625,1003.1037251812331,40.869692788743414,0,1,2
1630641011.3947096,23.68984375,1003.0800138679203,40.91729724560761,0,1,2
1630641012.6972306,23.68984375,1003.0749034470148,40.905373529263386,0,1,2
1630641013.998576,23.7,1003.1275742205997,40.774405469475106,1,2,3
1630641015.2967875,23.68984375,1003.0885312375284,40.738675094987315,1,2,3
1630641016.5953252,23.68984375,1003.093504168657,41.0601620072258,1,2,3
1630641017.8972077,23.694921875,1003.0459444073849,41.03635914506407,1,2,3
1630641019.1972044,23.7048828125,1003.0866901617045,41.32204822333197,1,2,3
1630641020.4970903,23.7201171875,1003.1384360056654,41.0125101280257,0,1,2
1630641021.7985802,23.7150390625,1003.1048969787225,40.9946271387876,0,1,2
1630641023.1001458,23.725,1003.0962407509811,40.91127319811219,0,1,2
1630641024.40473,23.725,1003.1166836008881,40.917261989165034,0,1,2
1630641025.70626,23.7099609375,1003.0951387767159,41.00655719721452,0,1,2
1630641027.0076323,23.7099609375,1003.0879307137816,40.970814414583415,0,1,2
1630641028.3114636,23.7201171875,1003.1168907118347,40.85177735191969,0,1,2
1630641029.617114,23.7150390625,1003.1219324141794,40.94104827570939,0,1,2
1630641030.9182496,23.7048828125,1003.1217943149757,40.90534672285361,0,1,2
1630641032.2236314,23.7099609375,1003.1236359581187,41.00656479165828,0,1,2
1630641033.5255911,23.7,1003.1150491883728,40.75058175015942,0,1,2
1630641034.8268886,23.7099609375,1003.1003181767549,40.768452256456705,0,1,2
1630641036.127863,23.7,1003.124167214117,40.65533923654914,0,1,2
1630641037.433137,23.7,1003.1031242883241,40.78031714865978,0,1,2
1630641038.7358088,23.7150390625,1003.1031242883241,40.89342191359195,0,1,2
1630641040.0348513,23.7099609375,1003.0963100612997,40.85175799582277,0,1,2
1630641041.3374085,23.7150390625,1003.0860193298935,40.958924925464764,0,1,2
1630641042.6377795,23.725,1003.1031242883241,40.7148283920002,0,1,2
1630641043.9376562,23.7150390625,1003.0809780546831,40.86366465832377,0,1,2
1630641045.2363095,23.7099609375,1003.1014898924903,40.74460706908411,0,1,2
1630641046.534602,23.7201171875,1003.0861580079887,40.91129089301494,0,1,2
1630641047.834694,23.7150390625,1003.1015589455824,40.92321507571144,0,1,2
1630641049.133034,23.7201171875,1003.0998554163566,40.81602765786376,0,1,2
1630641050.4313695,23.7201171875,1003.0911300401151,40.88746857160351,0,1,2
1630641051.7297099,23.7048828125,1003.1049660042485,40.7029325899867,0,1,2
1630641053.0276756,23.7048828125,1003.1121739376545,40.69701289044894,0,1,2
1630641054.3316333,23.7,1003.0883936633352,40.82203079987452,0,1,2
1630641055.6334288,23.7150390625,1003.1066695336889,40.661280824111905,0,1,2
1630641056.9357116,23.7,1003.1121739376545,40.744617962998156,0,1,2
1630641058.235322,23.7,1003.0781036229362,40.79226504623902,0,1,2
1630641059.5334053,23.68984375,1003.1020904097542,40.75653506217229,0,1,2
1630641060.8379436,23.694921875,1003.068089553476,40.58990099433404,0,1,2
1630641062.1383936,23.68984375,1003.1157183196942,40.88755106087941,0,1,2
1630641063.4400373,23.6748046875,1003.1175586984788,40.83993852806952,0,1,2
1630641064.7397146,23.6646484375,1003.0873583103204,40.816097754873134,0,1,2
1630641066.037973,23.6748046875,1003.1039310084939,40.851853608711615,0,1,2
1630641067.3392532,23.6646484375,1003.1129098167336,40.82804285205461,0,1,2
1630641068.6371927,23.6646484375,1003.0789778084747,40.822090136939174,0,1,2
1630641069.9394703,23.6546875,1003.0994186772332,40.70899778241956,0,1,2
1630641071.2395713,23.6697265625,1003.1010539848727,40.720892391764366,0,1,2
1630641072.5400963,23.6646484375,1003.078909530742,40.792326405654904,0,1,2
1630641073.8381257,23.6748046875,1003.0891300465299,40.91136194506081,0,1,2
1630641075.1375558,23.6748046875,1003.1311863930455,40.95898321513819,0,1,2
1630641076.437623,23.6796875,1003.1123798819509,41.07206713411065,0,1,2
1630641077.7395058,23.684765625,1003.0971171652193,40.91135335826424,0,1,2
1630641079.0392077,23.694921875,1003.0868277634637,40.875627230419255,0,1,2
1630641080.3439338,23.68984375,1003.1271118925578,41.01252547706657,0,1,2
1630641081.6451733,23.694921875,1003.0901659923146,40.88158012087611,0,1,2
1630641082.9456308,23.7048828125,1003.1189880040342,40.98275322551028,0,1,2
1630641084.2454102,23.7150390625,1003.1269740919296,40.905337650018424,0,1,2
1630641085.5441053,23.7048828125,1003.1100765927845,40.958924925464764,0,1,2
1630641086.84407,23.7099609375,1003.1321536788896,41.01845527535387,0,1,2
1630641088.1411834,23.7150390625,1003.1354228890259,40.81009450836133,0,1,2
1630641089.4407103,23.7201171875,1003.1059984535038,40.89340379834603,0,1,2
1630641090.741831,23.7099609375,1003.107771479611,40.82198112444889,0,1,2
1630641092.0434282,23.725,1003.1434776234872,40.720770780405864,0,1,2
1630641093.3429556,23.725,1003.1145164436391,40.85176767925311,0,1,2
1630641094.6443686,23.73515625,1003.0837819583928,40.881506213915884,0,1,2
1630641095.946033,23.725,1003.0792744987505,40.827954501039024,0,1,2
1630641097.2481737,23.7,1003.1065314022657,40.83985129179048,0,1,2
1630641098.5499372,23.7048828125,1003.1202288703114,40.577943958233206,0,1,2
1630641099.8495553,23.7150390625,1003.1236359581187,40.82793458065096,0,1,2
1630641101.1512659,23.694921875,1003.1258020715594,40.774405469475106,0,1,2
1630641102.4537902,23.694921875,1003.1360231749949,40.81013464527531,0,1,2
1630641103.7559102,23.694921875,1003.1032624748796,40.64340878471268,0,1,2
1630641105.0559769,23.7201171875,1003.1189880040342,40.810104655948365,0,1,2
1630641106.3549051,23.7,1003.084917683589,40.74463930056425,0,1,2
1630641107.66051,23.6796875,1003.1140148307013,40.62562037260442,0,1,2
1630641108.9612103,23.6796875,1003.1095029482813,40.661339377160736,0,1,2
1630641110.2615368,23.6697265625,1003.1298760832132,40.720903461027504,0,1,2
1630641111.562335,23.6595703125,1003.0709221066818,40.75067778306541,0,1,2
1630641112.8635368,23.649609375,1003.1083964382601,40.58998837182278,0,1,2
1630641114.1655612,23.64453125,1003.1120059545789,40.768577828548274,0,1,2
1630641115.4692333,23.6193359375,1003.1040162304922,40.81027398573715,0,1,2
1630641116.7698512,23.6244140625,1003.0954997457459,40.93525800480591,0,1,2
1630641118.069553,23.64453125,1003.1560910921899,40.9590658640332,0,1,2
1630641119.3707917,23.64453125,1003.1306753538863,41.030480978500194,0,1,2
1630641120.6706016,23.634375,1003.1154126313027,40.99476188641027,0,1,2
1630641121.96875,23.64453125,1003.1017859261258,41.19712975562821,0,1,2
1630641123.2691653,23.64453125,1003.0591345968807,40.97689769663444,0,1,2
1630641124.5659037,23.639453125,1003.076235866265,40.97094557762107,0,1,2
1630641125.8629367,23.6294921875,1003.088091554745,40.911432661406884,0,1,2
1630641127.1615686,23.634375,1003.0766284875612,41.149516649612785,0,1,2
1630641128.462784,23.6193359375,1003.1057195276563,41.10190287935186,0,1,2
1630641129.7650602,23.6193359375,1003.1107622501576,40.93525800480591,0,1,2
1630641131.06588,23.639453125,1003.0987716997383,41.13166787727136,0,1,2
1630641132.364915,23.6244140625,1003.0615012858779,40.84596748380604,0,1,2
1630641133.6663604,23.6244140625,1003.0920258313189,41.119758121040974,0,1,2
1630641134.9672647,23.6244140625,1003.0903225209447,40.96500168243798,0,1,2
1630641136.2651155,23.6244140625,1003.0749251640485,40.99477734151616,0,1,2
1630641137.5663278,23.6193359375,1003.0869832627885,41.02452908596679,0,1,2
1630641138.867022,23.6294921875,1003.0734242585261,40.89956379102168,0,1,2
1630641140.1679654,23.6142578125,1003.0920931523484,40.9590741342068,0,1,2
1630641141.4680974,23.6142578125,1003.075519751126,41.203092335772375,0,1,2
1630641142.7685044,23.6142578125,1003.0819406697073,41.05431688704108,0,1,2
1630641144.070655,23.6193359375,1003.0959589829607,41.04240669372524,0,1,2
1630641145.3701637,23.6193359375,1003.1040833471521,41.24475223637718,0,1,2
1630641146.670071,23.6193359375,1003.1245227524518,41.256664509724324,0,1,2
1630641147.9687319,23.6142578125,1003.122685430291,41.05432403992366,0,1,1
1630641149.2688677,23.609375,1003.1074899139863,41.10192917167978,0,1,1
1630641150.569351,23.609375,1003.0955669313189,41.09001966622628,0,1,1
1630641151.8692398,23.609375,1003.1159393121432,41.07217852098888,0,1,1
1630641153.1692483,23.6193359375,1003.1027720625293,41.00670393821687,0,1,1
1630641154.4678588,23.604296875,1003.0772901429576,41.060275543989725,0,1,1
1630641155.7685103,23.604296875,1003.0789933981727,41.16145544643117,0,1,2
1630641157.0662112,23.604296875,1003.0875096753209,41.030510495652166,0,1,2
1630641158.367504,23.609375,1003.107881872957,40.91742786898396,0,1,2
1630641159.6666284,23.604296875,1003.092552443606,40.93528326963271,0,1,2
1630641160.9674525,23.594140625,1003.0961595732056,41.02458131577511,0,1,2
1630641162.2665637,23.59921875,1003.1183015484696,40.98884891117247,0,1,2
1630641163.5669062,23.5841796875,1003.1045422349848,41.07220594542577,0,1,2
1630641164.870267,23.5890625,1003.0808972921894,40.90555073098044,0,1,2
1630641166.1718094,23.5890625,1003.0728395561871,41.13765652658149,0,1,2
1630641167.4743145,23.5841796875,1003.120004777837,41.09601732459525,0,1,2
1630641168.774572,23.5689453125,1003.104742294849,41.13767477069474,0,1,2
1630641170.0754488,23.5791015625,1003.1204625684732,41.16742977804256,0,1,1
1630641171.373678,23.5791015625,1003.0780155934375,41.13766862090067,0,1,1
1630641172.6755767,23.5740234375,1003.0915746130711,41.1257852337531,0,1,1
1630641173.9766026,23.59921875,1003.108082173768,41.18526602092144,0,1,1
1630641175.2767982,23.594140625,1003.1285873115346,41.01863741273501,0,1,1
1630641176.5749009,23.594140625,1003.087710148661,41.15549819768479,0,1,1
1630641177.8764055,23.609375,1003.0994324663343,41.095977672422585,0,1,2
1630641179.1755047,23.604296875,1003.0755868878143,41.10788720292245,0,1,2
1630641180.475389,23.6142578125,1003.0705441929657,41.322123395616295,0,1,2
1630641181.7716908,23.6244140625,1003.1209821186287,41.13760098661978,0,1,2
1630641183.0705822,23.6294921875,1003.1256326631914,41.000729218104894,0,1,2
1630641184.3735976,23.6294921875,1003.1055849982263,41.125690885322456,0,1,2
1630641185.6745818,23.6294921875,1003.1277953657076,41.13166156360621,0,1,2
1630641186.9749162,23.6294921875,1003.1136418288618,40.94119333243701,0,1,2
1630641188.2749228,23.6294921875,1003.100475024253,41.0483365938274,0,1,2
1630641189.5726874,23.634375,1003.0983116624592,41.04237767305464,0,1,2
1630641190.8703272,23.64453125,1003.1323787067824,41.155462504105316,0,1,2
1630641192.1677675,23.634375,1003.1560910921899,41.04236295767737,0,1,2
1630641193.469945,23.64453125,1003.1136418288618,40.98284980526849,0,1,2
1630641194.7722237,23.6546875,1003.118616716521,41.20305390113169,0,1,2
1630641196.0736237,23.649609375,1003.116913336632,41.05426707189539,0,1,2
1630641197.3722372,23.64453125,1003.1130459287982,41.006642585053896,0,1,2
1630641198.6711779,23.6546875,1003.1266731849444,40.97091312045541,0,1,2
1630641199.967644,23.6646484375,1003.0960118650577,40.98280980150973,0,1,2
