Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1630639161.7581244,0,0,4.0,31.8
1630639172.6820722,0,0,4.0,37.0
1630639183.5305939,0,0,4.0,31.2
1630639194.5323339,0,0,4.0,29.6
1630639205.5705853,0,0,4.0,30.8
1630639217.2297132,0,0,3.0,34.0
1630639228.4936104,0,0,3.0,36.0
1630639239.7599576,0,0,3.0,34.0
1630639251.1117592,0,0,3.0,32.2
1630639262.3026307,0,0,3.0,35.2
1630639273.5232205,0,0,3.0,31.2
1630639284.774938,0,0,3.0,35.0
1630639296.1244802,0,0,2.0,27.8
1630639307.404353,0,0,2.5,37.0
1630639318.6973128,0,0,3.0,33.4
1630639330.08186,0,0,3.0,35.4
1630639341.6648605,0,0,3.0,34.8
1630639353.802581,0,0,3.0,29.8
1630639365.5589495,0,0,3.0,35.4
1630639377.340732,0,0,3.0,33.8
1630639388.935951,0,0,3.0,34.8
1630639400.672168,0,0,4.0,34.0
1630639412.414079,0,0,3.0,32.4
1630639424.180383,0,0,3.0,35.2
1630639435.9141116,0,0,3.0,30.8
1630639448.0210118,0,0,3.0,27.8
1630639459.9095206,0,0,3.0,30.2
1630639471.8307848,0,0,3.0,28.6
1630639484.2035682,0,0,4.0,28.4
1630639496.3549273,0,0,4.0,31.8
1630639508.4851966,0,0,4.0,41.0
1630639520.4406202,0,0,3.0,36.4
1630639532.7100744,0,0,4.0,37.8
1630639544.8295677,0,0,5.0,37.0
1630639557.1449842,0,0,5.0,37.0
1630639569.2892394,0,0,4.0,36.0
1630639581.825818,0,0,5.0,36.0
1630639594.023554,0,0,4.0,40.0
1630639607.018577,0,0,4.0,40.6
1630639619.360901,0,0,4.0,43.4
1630639632.0024347,0,0,4.0,31.4
1630639644.3348627,0,0,4.0,26.0
1630639656.9263597,0,0,6.0,30.8
1630639669.452574,0,0,5.0,28.0
1630639682.0781066,0,0,5.0,27.8
1630639694.6439176,0,0,6.0,30.2
1630639707.4287605,0,0,5.0,33.4
1630639719.9812467,0,0,5.0,38.8
1630639733.344059,0,0,5.0,27.8
1630639746.1675348,0,0,5.0,29.2
1630639759.0899088,0,0,5.0,31.6
1630639772.1732645,0,0,5.0,26.8
1630639785.0154104,0,0,5.0,29.4
1630639797.9652495,0,0,4.0,37.0
1630639810.747284,0,0,4.0,39.2
1630639823.7857049,0,0,4.0,31.8
1630639837.1092634,0,0,4.0,42.2
1630639850.7342913,0,0,4.0,40.6
1630639863.994553,0,0,4.0,41.8
1630639877.1250005,0,0,4.0,29.4
1630639890.2813697,0,0,4.0,30.8
1630639903.6710067,0,0,4.0,32.0
1630639917.0668416,0,0,4.0,29.6
1630639930.4119163,0,0,3.0,31.8
1630639943.790854,0,0,4.0,29.0
1630639957.86114,0,0,4.0,35.6
